"name","label","concept","geography"
"B01001H_001","Estimate!!Total:","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_002","Estimate!!Total:!!Male:","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_003","Estimate!!Total:!!Male:!!Under 5 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_004","Estimate!!Total:!!Male:!!5 to 9 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_005","Estimate!!Total:!!Male:!!10 to 14 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_006","Estimate!!Total:!!Male:!!15 to 17 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_007","Estimate!!Total:!!Male:!!18 and 19 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_008","Estimate!!Total:!!Male:!!20 to 24 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_009","Estimate!!Total:!!Male:!!25 to 29 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_010","Estimate!!Total:!!Male:!!30 to 34 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_011","Estimate!!Total:!!Male:!!35 to 44 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_012","Estimate!!Total:!!Male:!!45 to 54 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_013","Estimate!!Total:!!Male:!!55 to 64 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_014","Estimate!!Total:!!Male:!!65 to 74 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_015","Estimate!!Total:!!Male:!!75 to 84 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_016","Estimate!!Total:!!Male:!!85 years and over","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_017","Estimate!!Total:!!Female:","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_018","Estimate!!Total:!!Female:!!Under 5 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_019","Estimate!!Total:!!Female:!!5 to 9 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_020","Estimate!!Total:!!Female:!!10 to 14 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_021","Estimate!!Total:!!Female:!!15 to 17 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_022","Estimate!!Total:!!Female:!!18 and 19 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_023","Estimate!!Total:!!Female:!!20 to 24 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_024","Estimate!!Total:!!Female:!!25 to 29 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_025","Estimate!!Total:!!Female:!!30 to 34 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_026","Estimate!!Total:!!Female:!!35 to 44 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_027","Estimate!!Total:!!Female:!!45 to 54 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_028","Estimate!!Total:!!Female:!!55 to 64 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_029","Estimate!!Total:!!Female:!!65 to 74 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_030","Estimate!!Total:!!Female:!!75 to 84 years","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001H_031","Estimate!!Total:!!Female:!!85 years and over","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B01001I_001","Estimate!!Total:","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_002","Estimate!!Total:!!Male:","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_003","Estimate!!Total:!!Male:!!Under 5 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_004","Estimate!!Total:!!Male:!!5 to 9 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_005","Estimate!!Total:!!Male:!!10 to 14 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_006","Estimate!!Total:!!Male:!!15 to 17 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_007","Estimate!!Total:!!Male:!!18 and 19 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_008","Estimate!!Total:!!Male:!!20 to 24 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_009","Estimate!!Total:!!Male:!!25 to 29 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_010","Estimate!!Total:!!Male:!!30 to 34 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_011","Estimate!!Total:!!Male:!!35 to 44 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_012","Estimate!!Total:!!Male:!!45 to 54 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_013","Estimate!!Total:!!Male:!!55 to 64 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_014","Estimate!!Total:!!Male:!!65 to 74 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_015","Estimate!!Total:!!Male:!!75 to 84 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_016","Estimate!!Total:!!Male:!!85 years and over","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_017","Estimate!!Total:!!Female:","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_018","Estimate!!Total:!!Female:!!Under 5 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_019","Estimate!!Total:!!Female:!!5 to 9 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_020","Estimate!!Total:!!Female:!!10 to 14 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_021","Estimate!!Total:!!Female:!!15 to 17 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_022","Estimate!!Total:!!Female:!!18 and 19 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_023","Estimate!!Total:!!Female:!!20 to 24 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_024","Estimate!!Total:!!Female:!!25 to 29 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_025","Estimate!!Total:!!Female:!!30 to 34 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_026","Estimate!!Total:!!Female:!!35 to 44 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_027","Estimate!!Total:!!Female:!!45 to 54 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_028","Estimate!!Total:!!Female:!!55 to 64 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_029","Estimate!!Total:!!Female:!!65 to 74 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_030","Estimate!!Total:!!Female:!!75 to 84 years","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01001I_031","Estimate!!Total:!!Female:!!85 years and over","SEX BY AGE (HISPANIC OR LATINO)","tract"
"B01002H_001","Estimate!!Median age --!!Total:","MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B01002H_002","Estimate!!Median age --!!Male","MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B01002H_003","Estimate!!Median age --!!Female","MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B01002I_001","Estimate!!Median age --!!Total:","MEDIAN AGE BY SEX (HISPANIC OR LATINO)","block group"
"B01002I_002","Estimate!!Median age --!!Male","MEDIAN AGE BY SEX (HISPANIC OR LATINO)","block group"
"B01002I_003","Estimate!!Median age --!!Female","MEDIAN AGE BY SEX (HISPANIC OR LATINO)","block group"
"B03001_001","Estimate!!Total:","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_002","Estimate!!Total:!!Not Hispanic or Latino","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
